location,lat,long
1 CHAI CHEE RD,1.32796879200004,103.922716018
1 EAST COAST RD,1.31176287000005,103.923113208
1 JALAN PASAR BARU,unknown,unknown
1 PINE CL,1.30787056200006,103.883192165
1 REDHILL CL,1.28425715200007,103.817826259
1 ROCHOR RD,1.30247240600005,103.855230065
1 ST. GEORGE'S RD,unknown,unknown
1 TECK WHYE AVE,1.38253882900005,103.751710906
1 TIONG BAHRU RD,1.28613693600005,103.833027874
1 TOH YI DR,1.33957175300003,103.774678246
10 CHAI CHEE RD,1.32727572400006,103.924803599
10 EUNOS CRES,1.32228655900002,103.902720514
10 GLOUCESTER RD,1.31391658700005,103.85220977
10 HOLLAND AVE,1.30814997100003,103.794275185
10 JALAN BATU,1.30204488300006,103.882887148
10 JALAN KUKOH,1.28697383400004,103.839075823
10 JALAN RUMAH TINGGI,1.28820018900007,103.808369387
10 LOR 7 TOA PAYOH,1.33717164300003,103.857793534
10 PINE CL,1.30915239400002,103.882242524
10 ST. GEORGE'S RD,unknown,unknown
10 TECK WHYE AVE,1.38047055100003,103.755211075
100 BEDOK NTH AVE 4,1.33435593400003,103.939032711
100 COMMONWEALTH CRES,1.30770527600004,103.801272476
100 WHAMPOA DR,1.32077947700003,103.85434874
101 ALJUNIED CRES,1.32092275300005,103.883351967
101 ANG MO KIO AVE 3,1.37026158400005,103.839467899
101 BEDOK RESERVOIR RD,1.32844913300005,103.909937397
101 BT BATOK WEST AVE 6,1.34670636100003,103.746920663
101 BT PURMEI RD,1.27146256600003,103.825683546
101 CLEMENTI ST 14,1.32208936800004,103.768933412
101 COMMONWEALTH CRES,1.30805159200003,103.800842814
101 HENDERSON CRES,1.29071799800005,103.821625208
101 HOUGANG AVE 1,1.35493747800007,103.891360574
101 JALAN RAJAH,1.32880086200004,103.850782024
101 JURONG EAST ST 13,1.33701100800005,103.738787314
101 RIVERVALE WALK,1.38276429000007,103.899272029
101 SERANGOON NTH AVE 1,1.37103632000003,103.870360911
101 SIMEI ST 1,1.34084991100002,103.951433718
101 TAMPINES ST 11,1.34740034600003,103.945294916
101 WHAMPOA DR,1.32041710200002,103.853813946
101 WOODLANDS ST 13,1.43598268500006,103.781932747
