location,count
1 CHAI CHEE RD,9
1 EAST COAST RD,1
1 JALAN PASAR BARU,1
1 PINE CL,56
1 REDHILL CL,2
1 ROCHOR RD,3
1 ST. GEORGE'S RD,133
1 TECK WHYE AVE,40
1 TIONG BAHRU RD,9
1 TOH YI DR,49
10 CHAI CHEE RD,51
10 EUNOS CRES,167
10 GLOUCESTER RD,13
10 HOLLAND AVE,64
10 JALAN BATU,7
10 JALAN KUKOH,4
10 JALAN RUMAH TINGGI,8
10 LOR 7 TOA PAYOH,41
10 PINE CL,35
10 ST. GEORGE'S RD,11
10 TECK WHYE AVE,25
100 BEDOK NTH AVE 4,38
100 COMMONWEALTH CRES,7
100 WHAMPOA DR,92
101 ALJUNIED CRES,37
101 ANG MO KIO AVE 3,5
101 BEDOK RESERVOIR RD,29
101 BT BATOK WEST AVE 6,63
101 BT PURMEI RD,29
101 CLEMENTI ST 14,13
101 COMMONWEALTH CRES,2
101 HENDERSON CRES,108
101 HOUGANG AVE 1,80
101 JALAN RAJAH,104
101 JURONG EAST ST 13,42
101 RIVERVALE WALK,19
101 SERANGOON NTH AVE 1,137
101 SIMEI ST 1,86
101 TAMPINES ST 11,41
101 WHAMPOA DR,104
101 WOODLANDS ST 13,56
101 YISHUN AVE 5,13
101A PUNGGOL FIELD,7
101D PUNGGOL FIELD,16
102 ALJUNIED CRES,19
102 ANG MO KIO AVE 3,42
102 BEDOK NTH AVE 4,46
102 BEDOK RESERVOIR RD,12
102 BT BATOK WEST AVE 6,78
102 BT PURMEI RD,33
102 COMMONWEALTH CRES,3
102 GANGSA RD,24
102 HENDERSON CRES,147
102 HOUGANG AVE 1,46
102 JALAN RAJAH,113
102 JURONG EAST ST 13,20
102 LENGKONG TIGA,24
102 PASIR RIS ST 12,62
102 POTONG PASIR AVE 1,10
102 SERANGOON NTH AVE 1,8
102 SIMEI ST 1,75
102 TAMPINES ST 11,50
102 TECK WHYE LANE,35
102 WOODLANDS ST 13,39
102A PUNGGOL FIELD,10
102D PUNGGOL FIELD,16
103 ANG MO KIO AVE 3,35
103 BEDOK NTH AVE 4,25
103 BEDOK RESERVOIR RD,95
103 BT BATOK CTRL,52
103 BT PURMEI RD,39
103 CLEMENTI ST 14,14
103 GANGSA RD,7
103 HENDERSON CRES,138
103 HOUGANG AVE 1,20
103 JALAN RAJAH,33
103 LENGKONG TIGA,21
103 PASIR RIS ST 12,63
103 SERANGOON NTH AVE 1,150
103 TAMPINES ST 11,55
103 TECK WHYE LANE,48
103 TOWNER RD,32
103 WOODLANDS ST 13,9
103 YISHUN RING RD,2
103A DEPOT RD,52
103B DEPOT RD,15
104 ALJUNIED CRES,72
104 BEDOK NTH AVE 4,32
104 BEDOK RESERVOIR RD,8
104 BISHAN ST 12,8
104 BT BATOK CTRL,81
104 BT PURMEI RD,24
104 GANGSA RD,35
104 HENDERSON CRES,78
104 JALAN DUSUN,16
104 JALAN RAJAH,37
104 PASIR RIS ST 12,88
104 POTONG PASIR AVE 1,31
104 RIVERVALE WALK,48
104 SERANGOON NTH AVE 1,5
104 TAMPINES ST 11,47
104 TECK WHYE LANE,36
104 TOWNER RD,29
104 WHAMPOA DR,30
104 WOODLANDS ST 13,119
104A DEPOT RD,35
104A EDGEFIELD PLAINS,14
104B DEPOT RD,22
104B EDGEFIELD PLAINS,14
105 ALJUNIED CRES,11
105 ANG MO KIO AVE 4,86
105 BEDOK NTH AVE 4,49
105 BEDOK RESERVOIR RD,71
105 BISHAN ST 12,54
105 BT BATOK CTRL,78
105 BT PURMEI RD,33
105 GANGSA RD,23
105 JURONG EAST ST 13,39
105 PASIR RIS ST 12,54
105 POTONG PASIR AVE 1,22
105 RIVERVALE WALK,35
105 TAMPINES ST 11,28
105 TECK WHYE LANE,67
105 TOWNER RD,95
105 WOODLANDS ST 13,129
105A EDGEFIELD PLAINS,9
105B EDGEFIELD PLAINS,15
105C EDGEFIELD PLAINS,13
105D EDGEFIELD PLAINS,15
106 ALJUNIED CRES,18
106 ANG MO KIO AVE 4,16
106 BEDOK RESERVOIR RD,164
106 BISHAN ST 12,130
106 BT BATOK CTRL,111
106 BT PURMEI RD,51
106 GANGSA RD,40
106 HENDERSON CRES,101
106 HOUGANG AVE 1,4
106 JALAN DUSUN,66
106 PASIR RIS ST 12,57
106 RIVERVALE WALK,48
106 SIMEI ST 1,79
106 TAMPINES ST 11,10
106 TECK WHYE LANE,37
106 TOWNER RD,29
106 WOODLANDS ST 13,13
106 YISHUN RING RD,1
106A DEPOT RD,26
106A PUNGGOL FIELD,13
106B DEPOT RD,16
106B PUNGGOL FIELD,24
106C PUNGGOL FIELD,13
107 ALJUNIED CRES,60
107 ANG MO KIO AVE 4,20
107 BEDOK NTH RD,22
107 BEDOK RESERVOIR RD,64
107 BISHAN ST 12,116
107 BT BATOK WEST AVE 6,91
107 BT PURMEI RD,30
107 JALAN BT MERAH,1
107 JALAN RAJAH,26
107 PASIR RIS ST 12,59
107 POTONG PASIR AVE 1,28
107 RIVERVALE WALK,39
107 SIMEI ST 1,104
107 TAMPINES ST 11,57
107 TOWNER RD,101
107 YISHUN RING RD,97
107B EDGEFIELD PLAINS,14
107C EDGEFIELD PLAINS,14
108 ALJUNIED CRES,12
108 ANG MO KIO AVE 4,54
108 BEDOK NTH RD,36
108 BEDOK RESERVOIR RD,83
108 BISHAN ST 12,15
108 BT BATOK WEST AVE 6,109
108 BT PURMEI RD,82
108 COMMONWEALTH CRES,1
108 GANGSA RD,31
108 HOUGANG AVE 1,1
108 JALAN BT MERAH,44
108 JURONG EAST ST 13,75
108 MCNAIR RD,86
108 POTONG PASIR AVE 1,17
108 RIVERVALE WALK,38
108 SIMEI ST 1,60
108 TAMPINES ST 11,37
108 WOODLANDS ST 13,138
108 YISHUN RING RD,9
108B MCNAIR RD,38
108C MCNAIR RD,40
109 ALJUNIED CRES,6
109 ANG MO KIO AVE 4,48
109 BEDOK NTH RD,32
109 BEDOK RESERVOIR RD,8
109 BISHAN ST 12,128
109 BT PURMEI RD,23
109 GANGSA RD,6
109 HOUGANG AVE 1,17
109 JALAN BT MERAH,66
109 LENGKONG TIGA,13
109 MCNAIR RD,57
109 PASIR RIS ST 11,62
109 SERANGOON NTH AVE 1,158
109 SIMEI ST 1,80
109 TAMPINES ST 11,64
109 WHAMPOA RD,32
109 YISHUN RING RD,5
109A DEPOT RD,9
109B DEPOT RD,14
109B EDGEDALE PLAINS,11
109C EDGEDALE PLAINS,12
10B LOR 7 TOA PAYOH,39
11 CANTONMENT CL,22
11 CHAI CHEE RD,30
11 EUNOS CRES,94
11 FARRER PK RD,41
11 HAIG RD,90
11 HOLLAND DR,56
11 JALAN BATU,4
11 LOR 8 TOA PAYOH,67
11 PINE CL,56
11 ST. GEORGE'S RD,65
11 TECK WHYE LANE,86
11 TOH YI DR,56
110 ALJUNIED CRES,11
110 ANG MO KIO AVE 4,51
110 BEDOK NTH RD,27
110 BEDOK RESERVOIR RD,96
110 BISHAN ST 12,43
110 BT MERAH VIEW,55
110 BT PURMEI RD,73
110 COMMONWEALTH CRES,4
110 GANGSA RD,23
110 HOUGANG AVE 1,12
110 JURONG EAST ST 13,21
110 LENGKONG TIGA,23
110 PASIR RIS ST 11,93
110 RIVERVALE WALK,17
110 SERANGOON NTH AVE 1,7
110 SIMEI ST 1,6
110 TAMPINES ST 11,45
110 TECK WHYE LANE,56
110 WHAMPOA RD,31
110 WOODLANDS ST 13,114
110 YISHUN RING RD,85
110A PUNGGOL FIELD,13
110B PUNGGOL FIELD,18
110C PUNGGOL FIELD,21
111 ALJUNIED CRES,19
111 ANG MO KIO AVE 4,10
111 BEDOK NTH RD,9
111 BEDOK RESERVOIR RD,10
111 BISHAN ST 12,107
111 BT MERAH VIEW,70
111 BT PURMEI RD,82
111 EDGEFIELD PLAINS,16
111 GANGSA RD,19
111 HO CHING RD,5
111 HOUGANG AVE 1,8
111 LENGKONG TIGA,43
111 LOR 3 GEYLANG,12
111 MCNAIR RD,104
111 RIVERVALE WALK,17
111 SERANGOON NTH AVE 1,155
111 TAMPINES ST 11,59
111 TECK WHYE LANE,32
111 WHAMPOA RD,28
111 YISHUN RING RD,49
111A DEPOT RD,16
111B DEPOT RD,16
112 ALJUNIED CRES,15
112 ANG MO KIO AVE 4,23
112 BEDOK NTH RD,19
112 BEDOK RESERVOIR RD,10
112 BISHAN ST 12,73
112 BT BATOK WEST AVE 6,127
112 BT PURMEI RD,43
112 COMMONWEALTH CRES,4
112 EDGEFIELD PLAINS,18
112 HO CHING RD,9
112 HOUGANG AVE 1,26
112 JURONG EAST ST 13,74
112 LENGKONG TIGA,9
112 LOR 3 GEYLANG,31
