stn_code,mrt_station_english,mrt_line_english,,NAME
NS1,Jurong East,North South Line,,JURONG EAST
NS2,Bukit Batok,North South Line,,BUKIT BATOK
NS3,Bukit Gombak,North South Line,,BUKIT GOMBAK
NS4,Choa Chu Kang,North South Line,,CHOA CHU KANG
NS5,Yew Tee,North South Line,,YEW TEE
NS7,Kranji,North South Line,,KRANJI
NS8,Marsiling,North South Line,,MARSILING
NS9,Woodlands,North South Line,,WOODLANDS
NS10,Admiralty,North South Line,,ADMIRALTY
NS11,Sembawang,North South Line,,SEMBAWANG
NS13,Yishun,North South Line,,YISHUN
NS14,Khatib,North South Line,,KHATIB
NS15,Yio Chu Kang,North South Line,,YIO CHU KANG
NS16,Ang Mo Kio,North South Line,,ANG MO KIO
NS17,Bishan,North South Line,,BISHAN
NS18,Braddell,North South Line,,BRADDELL
NS19,Toa Payoh,North South Line,,TOA PAYOH
NS20,Novena,North South Line,,NOVENA
NS21,Newton,North South Line,,NEWTON
NS22,Orchard,North South Line,,ORCHARD
NS23,Somerset,North South Line,,SOMERSET
NS24,Dhoby Ghaut,North South Line,,DHOBY GHAUT
NS25,City Hall,North South Line,,CITY HALL
NS26,Raffles Place,North South Line,,RAFFLES PLACE
NS27,Marina Bay,North South Line,,MARINA BAY
NS28,Marina South Pier,North South Line,,MARINA SOUTH PIER
EW1,Pasir Ris,East West Line,,PASIR RIS
EW2,Tampines,East West Line,,TAMPINES
EW3,Simei,East West Line,,SIMEI
EW4,Tanah Merah,East West Line,,TANAH MERAH
EW5,Bedok,East West Line,,BEDOK
EW6,Kembangan,East West Line,,KEMBANGAN
EW7,Eunos,East West Line,,EUNOS
EW8,Paya Lebar,East West Line,,PAYA LEBAR
EW9,Aljunied,East West Line,,ALJUNIED
EW10,Kallang,East West Line,,KALLANG
EW11,Lavender,East West Line,,LAVENDER
EW12,Bugis,East West Line,,BUGIS
EW13,City Hall,East West Line,,CITY HALL
EW14,Raffles Place,East West Line,,RAFFLES PLACE
EW15,Tanjong Pagar,East West Line,,TANJONG PAGAR
EW16,Outram Park,East West Line,,OUTRAM PARK
EW17,Tiong Bahru,East West Line,,TIONG BAHRU
EW18,Redhill,East West Line,,REDHILL
EW19,Queenstown,East West Line,,QUEENSTOWN
EW20,Commonwealth,East West Line,,COMMONWEALTH
EW21,Buona Vista,East West Line,,BUONA VISTA
EW22,Dover,East West Line,,DOVER
EW23,Clementi,East West Line,,CLEMENTI
EW24,Jurong East,East West Line,,JURONG EAST
EW25,Chinese Garden,East West Line,,CHINESE GARDEN
EW26,Lakeside,East West Line,,LAKESIDE
EW27,Boon Lay,East West Line,,BOON LAY
EW28,Pioneer,East West Line,,PIONEER
EW29,Joo Koon,East West Line,,JOO KOON
EW30,Gul Circle,East West Line,,GUL CIRCLE
EW31,Tuas Crescent,East West Line,,TUAS CRESCENT
EW32,Tuas West Road,East West Line,,TUAS WEST ROAD
EW33,Tuas Link,East West Line,,TUAS LINK
CG1,Expo,Changi Airport Branch Line,,EXPO
CG2,Changi Airport,Changi Airport Branch Line,,CHANGI AIRPORT
NE1,HarbourFront,North East Line,,HARBOURFRONT
NE3,Outram Park,North East Line,,OUTRAM PARK
NE4,Chinatown,North East Line,,CHINATOWN
NE5,Clarke Quay,North East Line,,CLARKE QUAY
NE6,Dhoby Ghaut,North East Line,,DHOBY GHAUT
NE7,Little India,North East Line,,LITTLE INDIA
NE8,Farrer Park,North East Line,,FARRER PARK
NE9,Boon Keng,North East Line,,BOON KENG
NE10,Potong Pasir,North East Line,,POTONG PASIR
NE11,Woodleigh,North East Line,,WOODLEIGH
NE12,Serangoon,North East Line,,SERANGOON
NE13,Kovan,North East Line,,KOVAN
NE14,Hougang,North East Line,,HOUGANG
NE15,Buangkok,North East Line,,BUANGKOK
NE16,Sengkang,North East Line,,SENGKANG
NE17,Punggol,North East Line,,PUNGGOL
CC1,Dhoby Ghaut,Circle Line,,DHOBY GHAUT
CC2,Bras Basah,Circle Line,,BRAS BASAH
CC3,Esplanade,Circle Line,,ESPLANADE
CC4,Promenade,Circle Line,,PROMENADE
CC5,Nicoll Highway,Circle Line,,NICOLL HIGHWAY
CC6,Stadium,Circle Line,,STADIUM
CC7,Mountbatten,Circle Line,,MOUNTBATTEN
CC8,Dakota,Circle Line,,DAKOTA
CC9,Paya Lebar,Circle Line,,PAYA LEBAR
CC10,MacPherson,Circle Line,,MACPHERSON
CC11,Tai Seng,Circle Line,,TAI SENG
